Test at 17:52,,,,y = 2E-10x3 - 2E-06x2 + 0.0058x + 49.68
21,50,5003,00:00:05.3,299.965
21,51,10004,00:00:10.4,
21,51,15003,00:00:15.3,
21,51,20004,00:00:20.4,
21,51,25004,00:00:25.4,
21,51,30003,00:00:30.3,
21,52,35003,00:00:35.3,
21,52,40003,00:00:40.3,
21,52,45003,00:00:45.3,
21,52,50003,00:00:50.3,
21,52,55003,00:00:55.3,
21,52,60003,00:01:00.3,
21,52,65003,00:01:05.3,
21,53,70003,00:01:10.3,
21,52,75003,00:01:15.3,
21,52,80003,00:01:20.3,
21,52,85003,00:01:25.3,
21,52,90003,00:01:30.3,
21,52,95003,00:01:35.3,
21,52,100003,00:01:40.3,
21,52,105008,00:01:45.8,
21,52,110003,00:01:50.3,
21,52,115003,00:01:55.3,
21,52,120004,00:02:00.4,
21,52,125003,00:02:05.3,
21,53,130003,00:02:10.3,
20,53,135003,00:02:15.3,
20,53,140003,00:02:20.3,
20,53,145003,00:02:25.3,
20,52,150003,00:02:30.3,
20,52,155003,00:02:35.3,
20,52,160003,00:02:40.3,
20,52,165003,00:02:45.3,
20,52,170003,00:02:50.3,
20,52,175003,00:02:55.3,
21,52,180003,00:03:00.3,
20,52,185004,00:03:05.4,
20,52,190003,00:03:10.3,
20,53,195003,00:03:15.3,
20,53,200003,00:03:20.3,
20,53,205003,00:03:25.3,
20,53,210003,00:03:30.3,
20,53,215003,00:03:35.3,
20,53,220003,00:03:40.3,
20,54,225003,00:03:45.3,
20,53,230003,00:03:50.3,
20,54,235003,00:03:55.3,
20,54,240003,00:04:00.3,
20,54,245003,00:04:05.3,
20,53,250005,00:04:10.5,
20,53,255003,00:04:15.3,
20,54,260003,00:04:20.3,
20,54,265004,00:04:25.4,
20,54,270003,00:04:30.3,
20,54,275003,00:04:35.3,
20,54,280003,00:04:40.3,
20,54,285003,00:04:45.3,
20,54,290003,00:04:50.3,
20,54,295003,00:04:55.3,
20,54,300003,00:05:00.3,
20,54,305003,00:05:05.3,
20,54,310003,00:05:10.3,
20,54,315003,00:05:15.3,
20,54,320003,00:05:20.3,
20,53,325003,00:05:25.3,
20,53,330003,00:05:30.3,
20,53,335003,00:05:35.3,
20,53,340003,00:05:40.3,
20,53,345004,00:05:45.4,
20,53,350003,00:05:50.3,
20,53,355003,00:05:55.3,
20,53,360003,00:06:00.3,
20,54,365003,00:06:05.3,
20,54,370003,00:06:10.3,
20,54,375003,00:06:15.3,
20,54,380003,00:06:20.3,
20,54,385003,00:06:25.3,
20,54,390010,00:06:30.10,
20,55,395003,00:06:35.3,
20,55,400003,00:06:40.3,
20,54,405003,00:06:45.3,
20,54,410003,00:06:50.3,
20,54,415003,00:06:55.3,
20,54,420003,00:07:00.3,
20,54,425004,00:07:05.4,
20,54,430003,00:07:10.3,
20,54,435003,00:07:15.3,
20,54,440003,00:07:20.3,
20,54,445003,00:07:25.3,
20,54,450003,00:07:30.3,
20,55,455003,00:07:35.3,
20,54,460003,00:07:40.3,
20,54,465003,00:07:45.3,
20,54,470003,00:07:50.3,
20,55,475003,00:07:55.3,
20,55,480003,00:08:00.3,
20,55,485003,00:08:05.3,
20,55,490003,00:08:10.3,
20,55,495003,00:08:15.3,
20,55,500003,00:08:20.3,
20,55,505004,00:08:25.4,
20,55,510003,00:08:30.3,
20,55,515003,00:08:35.3,
20,55,520003,00:08:40.3,
20,55,525003,00:08:45.3,
20,55,530003,00:08:50.3,
20,55,535003,00:08:55.3,
20,55,540003,00:09:00.3,
20,55,545003,00:09:05.3,
20,55,550003,00:09:10.3,
20,55,555003,00:09:15.3,
